,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
24,14777.0,30285.0,19617.0,19992.0,29766.0,35128.0,13709.0,18789.0,30055.0,14808.0,11199.0,15486.0,14761.0,12181.0,9066.0,8679.0,14729.0,12296.0,14732.0,8334.0,9734.0,4443.0,3534.0,6408.0,0.0,11808.0,14699.0,28073.0,14752.0,26824.0,26870.0,29504.0,32219.0,35864.0,29018.0,14774.0,22679.0,23755.0,14906.0,22429.0,19556.0,18506.0,23772.0,26140.0,20456.0,24132.0,14729.0
25,18127.0,36325.0,37112.0,34258.0,35806.0,42134.0,26066.0,33055.0,36095.0,16464.0,14930.0,13729.0,13004.0,13548.0,10388.0,12044.0,12972.0,14029.0,18082.0,14258.0,15658.0,12025.0,10243.0,9556.0,9163.0,0.0,18049.0,32465.0,18102.0,31216.0,31262.0,33896.0,36611.0,40256.0,33410.0,18124.0,28719.0,29795.0,27263.0,28469.0,25596.0,24546.0,29812.0,32180.0,26496.0,30172.0,18079.0
26,528.0,27109.0,28014.0,23251.0,26590.0,33036.0,16968.0,22048.0,26879.0,1629.0,2564.0,5765.0,4462.0,3846.0,7050.0,5030.0,4566.0,3747.0,483.0,5871.0,4973.0,11024.0,8751.0,7937.0,15184.0,17750.0,0.0,17675.0,503.0,16426.0,16472.0,17942.0,21821.0,25466.0,18620.0,525.0,19503.0,20579.0,18165.0,19253.0,16380.0,15330.0,20596.0,22964.0,17280.0,20956.0,480.0
27,17758.0,40277.0,41182.0,36419.0,39758.0,46204.0,30136.0,35216.0,40047.0,17377.0,20212.0,20932.0,19805.0,21461.0,22412.0,22924.0,19909.0,21942.0,17713.0,19982.0,20643.0,24192.0,24725.0,25436.0,28352.0,32249.0,17680.0,0.0,17733.0,11595.0,11317.0,5622.0,7375.0,11750.0,10672.0,17755.0,32671.0,33747.0,31333.0,32421.0,29548.0,28498.0,33764.0,36132.0,30448.0,34124.0,17710.0
28,135.0,27162.0,28067.0,23304.0,26643.0,33089.0,17021.0,22101.0,26932.0,1682.0,2617.0,5818.0,4515.0,3899.0,7103.0,5083.0,4619.0,3800.0,52.0,5924.0,5026.0,11077.0,8804.0,7990.0,15237.0,17803.0,503.0,17728.0,0.0,16479.0,16525.0,17995.0,21874.0,25519.0,18673.0,132.0,19556.0,20632.0,18218.0,19306.0,16433.0,15383.0,20649.0,23017.0,17333.0,21009.0,23.0
29,17360.0,39879.0,40784.0,36021.0,39360.0,45806.0,29738.0,34818.0,39649.0,16979.0,19814.0,20534.0,19407.0,21063.0,22014.0,22526.0,19511.0,21544.0,17315.0,19584.0,20245.0,23794.0,24327.0,25038.0,27954.0,31851.0,17282.0,11992.0,17335.0,0.0,417.0,6978.0,6947.0,11322.0,6430.0,17357.0,32273.0,33349.0,30935.0,32023.0,29150.0,28100.0,33366.0,35734.0,30050.0,33726.0,17312.0
30,13730.0,31786.0,37959.0,33196.0,31267.0,42981.0,26913.0,31993.0,31556.0,14154.0,14884.0,17709.0,16582.0,18238.0,19189.0,19701.0,16686.0,18719.0,13685.0,16759.0,17420.0,20969.0,21502.0,22213.0,25129.0,29026.0,13652.0,11886.0,13705.0,624.0,0.0,6872.0,6921.0,11296.0,6482.0,13727.0,24180.0,25256.0,28110.0,23930.0,21057.0,20007.0,25273.0,27641.0,21957.0,25633.0,13682.0
31,17482.0,35538.0,41711.0,36948.0,35019.0,46733.0,30665.0,35745.0,35308.0,17906.0,18636.0,21461.0,20334.0,21990.0,22941.0,23453.0,20438.0,22471.0,17437.0,20511.0,21172.0,24721.0,25254.0,25965.0,28881.0,32778.0,17404.0,4388.0,17457.0,6528.0,6250.0,0.0,4361.0,8736.0,5050.0,17479.0,27932.0,29008.0,31862.0,27682.0,24809.0,23759.0,29025.0,31393.0,25709.0,29385.0,17434.0
32,23742.0,46261.0,47166.0,42403.0,45742.0,52188.0,36120.0,41200.0,46031.0,23361.0,26196.0,26916.0,25789.0,27445.0,28396.0,28908.0,25893.0,27926.0,23697.0,25966.0,26627.0,30176.0,30709.0,31420.0,34336.0,38233.0,23664.0,6961.0,23717.0,7296.0,7321.0,2494.0,0.0,4795.0,5554.0,23739.0,38655.0,39731.0,37317.0,38405.0,35532.0,34482.0,39748.0,42116.0,36432.0,40108.0,23694.0
33,26393.0,48912.0,49817.0,45054.0,48393.0,54839.0,38771.0,43851.0,48682.0,26012.0,28847.0,29567.0,28440.0,30096.0,31047.0,31559.0,28544.0,30577.0,26348.0,28617.0,29278.0,32827.0,33360.0,34071.0,36987.0,40884.0,26315.0,11752.0,26368.0,11284.0,11309.0,7285.0,5558.0,0.0,7613.0,26390.0,41306.0,42382.0,39968.0,41056.0,38183.0,37133.0,42399.0,44767.0,39083.0,42759.0,26345.0
